SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_ID,fantasy_points
22023,2544,22301195,"Apr 14, 2024",LAL @ NOP,W,38,11,20,0.55,0,2,0.0,6,6,1.0,2,9,11,17,5,1,4,0,28,19,1,2544,76.25
22023,2544,22301177,"Apr 12, 2024",LAL @ MEM,W,41,13,20,0.65,3,7,0.429,8,11,0.727,2,7,9,5,2,0,8,1,37,-3,1,2544,51.75
22023,2544,22301155,"Apr 09, 2024",LAL vs. GSW,L,36,14,22,0.636,1,3,0.333,4,5,0.8,1,6,7,11,2,0,4,0,33,-6,1,2544,58.25
22023,2544,22301127,"Apr 06, 2024",LAL vs. CLE,W,36,10,18,0.556,1,5,0.2,3,5,0.6,0,5,5,12,1,1,5,1,24,10,1,2544,48.25
22023,2544,22301103,"Apr 03, 2024",LAL @ WAS,W,36,9,18,0.5,0,1,0.0,7,9,0.778,2,5,7,9,3,0,4,2,25,9,1,2544,49.25
22023,2544,22301094,"Apr 02, 2024",LAL @ TOR,W,29,10,12,0.833,1,1,1.0,2,5,0.4,0,4,4,9,0,0,1,0,23,13,1,2544,40.5
22023,2544,22301078,"Mar 31, 2024",LAL @ BKN,W,37,13,17,0.765,9,10,0.9,5,6,0.833,1,6,7,5,0,0,4,0,40,22,1,2544,52.25
22023,2544,22301063,"Mar 29, 2024",LAL @ IND,L,35,6,12,0.5,0,3,0.0,4,4,1.0,1,9,10,8,0,0,5,1,16,-13,1,2544,35.5
22023,2544,22301055,"Mar 27, 2024",LAL @ MEM,W,35,8,14,0.571,0,1,0.0,7,11,0.636,0,14,14,12,1,0,4,1,23,33,1,2544,56.5
22023,2544,22301032,"Mar 24, 2024",LAL vs. IND,W,38,8,19,0.421,2,4,0.5,8,8,1.0,1,4,5,10,1,1,3,1,26,12,1,2544,49.25
22023,2544,22301018,"Mar 22, 2024",LAL vs. PHI,W,38,7,15,0.467,1,3,0.333,5,7,0.714,0,8,8,6,0,1,8,1,20,7,1,2544,34.0
22023,2544,22300990,"Mar 18, 2024",LAL vs. ATL,W,29,10,14,0.714,2,5,0.4,3,3,1.0,0,7,7,10,0,0,2,0,25,20,1,2544,46.75
