SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_ID,SEASON,PLAYER_NAME,fantasy_points,fantasy_points_rolling3,fantasy_points_rolling5,fantasy_points_rolling10,MIN_rolling3,MIN_rolling5,MIN_rolling10,IS_HOME,DAYS_REST,LAST_GAME_DATE
22019,203500,21901317,"Aug 14, 2020",OKC @ LAC,L,6,0,2,0.0,0,0,0.0,0,0,0.0,2,2,4,0,0,0,1,0,0,2,1,203500,2019-20,Steven Adams,4.0,44.916666666666664,55.2,52.15,31.333333333333332,34.8,34.3,0,0,
22019,203500,21901306,"Aug 12, 2020",OKC vs. MIA,W,20,4,7,0.571,0,0,0.0,0,2,0.0,2,6,8,0,1,0,0,0,8,-7,1,203500,2019-20,Steven Adams,20.0,54.333333333333336,56.65,51.925,35.333333333333336,35.6,35.1,1,3,2019-10-22
22019,203500,21901265,"Aug 05, 2020",OKC @ LAL,W,28,7,10,0.7,0,0,0.0,4,7,0.571,1,6,7,2,0,0,1,2,18,13,1,203500,2019-20,Steven Adams,28.75,58.583333333333336,55.15,54.05,36.0,35.8,34.9,1,2,2019-10-25
22019,203500,21901251,"Aug 03, 2020",OKC vs. DEN,L,34,3,6,0.5,0,0,0.0,3,4,0.75,3,7,10,1,0,0,2,6,9,-18,1,203500,2019-20,Steven Adams,21.0,68.41666666666667,58.8,55.675,38.333333333333336,37.2,35.8,1,2,2019-10-27
22019,203500,21901240,"Aug 01, 2020",OKC vs. UTA,W,28,7,10,0.7,0,0,0.0,2,5,0.4,3,8,11,2,0,2,4,3,16,15,1,203500,2019-20,Steven Adams,34.75,52.083333333333336,50.45,52.325,36.0,36.0,35.1,0,3,2019-10-29
22019,203500,21900949,"Mar 08, 2020",OKC @ BOS,W,26,1,2,0.5,0,0,0.0,4,8,0.5,0,6,6,1,3,1,1,1,6,4,1,203500,2019-20,Steven Adams,23.0,50.916666666666664,49.1,50.95,35.333333333333336,33.8,35.3,0,2,2019-11-01
22019,203500,21900932,"Mar 06, 2020",OKC @ NYK,W,24,5,8,0.625,0,0,0.0,2,2,1.0,6,5,11,1,0,2,0,0,12,14,1,203500,2019-20,Steven Adams,33.25,44.0,47.2,50.45,36.0,34.6,35.3,0,2,2019-11-03
22019,203500,21900918,"Mar 04, 2020",OKC @ DET,W,32,4,5,0.8,0,0,0.0,0,3,0.0,0,7,7,3,3,1,5,1,8,2,1,203500,2019-20,Steven Adams,25.25,48.5,52.95,52.225,32.666666666666664,34.0,35.5,1,3,2019-11-05
22019,203500,21900912,"Mar 03, 2020",OKC vs. LAC,L,27,2,6,0.333,0,0,0.0,0,2,0.0,5,5,10,2,0,0,1,5,4,-17,1,203500,2019-20,Steven Adams,18.5,49.083333333333336,52.55,51.375,34.0,34.4,34.5,1,2,2019-11-08
22019,203500,21900882,"Feb 28, 2020",OKC @ MIL,L,17,4,5,0.8,0,0,0.0,0,0,0.0,1,6,7,3,1,0,1,1,8,-5,1,203500,2019-20,Steven Adams,22.25,56.25,54.2,52.075,32.666666666666664,34.2,34.4,0,2,2019-11-10
22019,203500,21900875,"Feb 27, 2020",OKC vs. SAC,W,28,7,9,0.778,0,0,0.0,1,2,0.5,6,1,7,1,0,0,1,2,15,-10,1,203500,2019-20,Steven Adams,24.25,56.666666666666664,52.8,51.325,36.333333333333336,36.8,35.5,1,1,2019-11-12
22019,203500,21900859,"Feb 25, 2020",OKC @ CHI,W,28,6,8,0.75,0,0,0.0,4,6,0.667,5,4,9,2,3,3,1,1,16,11,1,203500,2019-20,Steven Adams,44.25,55.666666666666664,53.7,50.275,35.333333333333336,36.0,34.5,1,2,2019-11-13
22019,203500,21900846,"Feb 23, 2020",OKC vs. SAS,W,27,8,12,0.667,0,0,0.0,5,6,0.833,3,11,14,0,1,0,1,0,21,7,1,203500,2019-20,Steven Adams,39.5,48.25,51.5,48.975,37.333333333333336,37.0,34.6,1,2,2019-11-15
22019,203500,21900831,"Feb 21, 2020",OKC vs. DEN,W,32,7,14,0.5,0,0,0.0,5,6,0.833,7,10,17,2,4,2,0,0,19,9,1,203500,2019-20,Steven Adams,57.25,51.0,50.2,49.25,36.666666666666664,34.6,33.7,1,2,2019-11-17
22019,203500,21900819,"Feb 13, 2020",OKC @ NOP,W,28,5,10,0.5,1,1,1.0,0,1,0.0,3,8,11,2,1,3,1,4,11,9,1,203500,2019-20,Steven Adams,37.75,51.75,49.95,49.275,37.333333333333336,34.6,33.9,0,3,2019-11-19
22019,203500,21900805,"Feb 11, 2020",OKC vs. SAS,L,32,4,9,0.444,0,0,0.0,2,2,1.0,3,7,10,2,4,1,4,5,10,1,1,203500,2019-20,Steven Adams,32.5,52.333333333333336,49.85,50.15,32.666666666666664,34.2,33.7,0,1,2019-11-22
22019,203500,21900786,"Feb 09, 2020",OKC vs. BOS,L,30,2,10,0.2,0,1,0.0,0,0,0.0,5,6,11,2,0,1,2,3,4,8,1,203500,2019-20,Steven Adams,21.75,49.416666666666664,46.85,50.825,33.0,33.0,33.9,0,2,2019-11-23
22019,203500,21900773,"Feb 07, 2020",OKC vs. DET,W,29,7,10,0.7,0,0,0.0,2,2,1.0,2,6,8,3,0,1,3,3,16,-9,1,203500,2019-20,Steven Adams,30.5,45.5,46.45,49.425,32.666666666666664,32.2,33.6,0,2,2019-11-25
22019,203500,21900760,"Feb 05, 2020",OKC vs. CLE,W,30,2,5,0.4,0,0,0.0,2,3,0.667,1,7,8,3,0,0,1,2,6,2,1,203500,2019-20,Steven Adams,19.5,45.416666666666664,48.3,49.85,34.0,32.8,34.8,1,2,2019-11-27
22019,203500,21900725,"Jan 31, 2020",OKC @ PHX,W,23,4,6,0.667,0,0,0.0,0,0,0.0,4,1,5,2,2,1,4,5,8,-11,1,203500,2019-20,Steven Adams,20.25,45.916666666666664,48.6,50.25,33.333333333333336,33.2,35.1,1,2,2019-11-29
22019,203500,21900713,"Jan 29, 2020",OKC @ SAC,W,26,2,5,0.4,0,0,0.0,4,4,1.0,5,3,8,1,1,1,0,2,8,14,1,203500,2019-20,Steven Adams,24.5,49.75,50.45,52.025,30.333333333333332,33.2,35.1,0,2,2019-12-01
22019,203500,21900697,"Jan 27, 2020",OKC vs. DAL,L,24,4,5,0.8,0,0,0.0,1,2,0.5,0,5,5,4,0,0,0,2,9,-3,1,203500,2019-20,Steven Adams,21.25,52.333333333333336,54.8,51.825,33.333333333333336,34.8,35.6,0,1,2019-12-03
22019,203500,21900683,"Jan 25, 2020",OKC @ MIN,W,23,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,4,1,4,0,1,1,203500,2019-20,Steven Adams,15.25,52.166666666666664,52.4,53.375,34.333333333333336,35.0,36.0,0,2,2019-12-04
22019,203500,21900645,"Jan 20, 2020",OKC @ HOU,W,2,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,2,1,203500,2019-20,Steven Adams,0.0,56.25,51.4,53.175,37.333333333333336,36.8,36.9,1,2,2019-12-06
22019,203500,21900635,"Jan 18, 2020",OKC vs. POR,W,24,1,7,0.143,0,0,0.0,3,4,0.75,5,4,9,3,0,0,3,2,5,20,1,203500,2019-20,Steven Adams,17.75,52.25,51.9,53.2,36.333333333333336,37.0,36.6,0,3,2019-12-08
22019,203500,21900609,"Jan 15, 2020",OKC vs. TOR,L,7,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,1,1,0,1,0,2,-2,1,203500,2019-20,Steven Adams,7.0,51.333333333333336,53.6,52.85,36.333333333333336,37.0,36.0,0,2,2019-12-11
22019,203500,21900594,"Jan 13, 2020",OKC @ MIN,W,29,5,7,0.714,0,0,0.0,3,4,0.75,4,7,11,5,1,3,2,1,13,8,1,203500,2019-20,Steven Adams,43.25,47.5,48.85,52.725,37.0,36.4,35.5,0,2,2019-12-13
22019,203500,21900580,"Jan 11, 2020",OKC vs. LAL,L,29,6,10,0.6,0,0,0.0,0,0,0.0,2,6,8,1,2,1,1,0,12,-12,1,203500,2019-20,Steven Adams,29.5,54.166666666666664,54.35,53.2,37.666666666666664,37.0,35.3,0,2,2019-12-15
22019,203500,21900566,"Jan 09, 2020",OKC vs. HOU,W,25,6,8,0.75,0,0,0.0,3,4,0.75,1,7,8,3,1,0,1,1,15,17,1,203500,2019-20,Steven Adams,30.5,52.0,54.95,53.175,36.666666666666664,37.0,35.2,0,2,2019-12-17
22019,203500,21900550,"Jan 07, 2020",OKC @ BKN,W,36,3,5,0.6,0,0,0.0,4,7,0.571,4,14,18,3,2,0,2,0,10,17,1,203500,2019-20,Steven Adams,39.0,56.333333333333336,54.5,53.075,36.333333333333336,36.2,34.8,1,6,2019-12-19
22019,203500,21900541,"Jan 06, 2020",OKC @ PHI,L,35,9,14,0.643,0,0,0.0,6,8,0.75,9,6,15,1,0,2,1,1,24,-4,1,203500,2019-20,Steven Adams,49.25,53.583333333333336,52.1,51.025,36.333333333333336,35.0,34.0,0,3,2019-12-25
22019,203500,21900527,"Jan 04, 2020",OKC @ CLE,W,30,2,7,0.286,0,0,0.0,6,7,0.857,8,8,16,4,1,1,1,1,10,15,1,203500,2019-20,Steven Adams,40.0,56.916666666666664,56.6,51.025,36.666666666666664,34.6,34.2,1,1,2019-12-28
22019,203500,21900514,"Jan 02, 2020",OKC @ SAS,W,30,5,8,0.625,0,0,0.0,4,6,0.667,4,5,9,3,0,1,1,4,14,8,1,203500,2019-20,Steven Adams,31.75,50.416666666666664,52.05,49.875,34.333333333333336,33.6,33.8,1,3,2019-12-29
22019,203500,21900503,"Dec 31, 2019",OKC vs. DAL,W,25,4,7,0.571,0,0,0.0,2,4,0.5,4,7,11,2,1,0,1,5,10,3,1,203500,2019-20,Steven Adams,27.75,54.75,51.4,49.1,32.666666666666664,33.4,33.6,1,2,2020-01-01
22019,203500,21900486,"Dec 29, 2019",OKC @ TOR,W,29,2,7,0.286,0,0,0.0,5,6,0.833,4,2,6,0,2,1,1,0,9,0,1,203500,2019-20,Steven Adams,22.5,52.25,51.65,48.4,32.0,33.4,33.9,1,2,2020-01-03
