SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_ID,SEASON,PLAYER_NAME,OPPONENT,TEAM_ABBREVIATION,OPP_DEF_RATING,PTS_vs_DefAdj
22023,1630173,0022301190,"Apr 14, 2024",NYK vs. CHI,W,19,2,3,0.667,0,0,0.0,0,0,0.0,1,4,5,2,0,1,2,3,4,-2,1,1630173,2023-24,Precious Achiuwa,CHI,CHI,115.7,0.034572169403630074
22023,1630173,0022301175,"Apr 12, 2024",NYK vs. BKN,W,8,2,2,1.0,1,1,1.0,0,0,0.0,0,3,3,0,0,0,0,0,5,3,1,1630173,2023-24,Precious Achiuwa,BKN,BKN,115.4,0.04332755632582322
22023,1630173,0022301167,"Apr 11, 2024",NYK @ BOS,W,16,1,6,0.167,0,1,0.0,0,0,0.0,2,3,5,0,0,1,1,0,2,-9,1,1630173,2023-24,Precious Achiuwa,BOS,BOS,110.6,0.018083182640144666
22023,1630173,0022301139,"Apr 07, 2024",NYK @ MIL,W,5,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,5,1,1630173,2023-24,Precious Achiuwa,MIL,MIL,115.0,0.0
22023,1630173,0022301119,"Apr 05, 2024",NYK @ CHI,L,19,0,2,0.0,0,1,0.0,0,0,0.0,1,3,4,1,1,0,1,4,0,-2,1,1630173,2023-24,Precious Achiuwa,CHI,CHI,115.7,0.0
22023,1630173,0022301112,"Apr 04, 2024",NYK vs. SAC,W,9,0,2,0.0,0,1,0.0,0,0,0.0,0,3,3,0,0,0,1,3,0,-17,1,1630173,2023-24,Precious Achiuwa,SAC,SAC,114.4,0.0
22023,1630173,0022301096,"Apr 02, 2024",NYK @ MIA,L,27,1,4,0.25,0,0,0.0,0,0,0.0,3,3,6,0,1,0,0,2,2,-9,1,1630173,2023-24,Precious Achiuwa,MIA,MIA,111.5,0.017937219730941704
22023,1630173,0022301082,"Mar 31, 2024",NYK vs. OKC,L,22,3,5,0.6,0,1,0.0,2,4,0.5,4,5,9,0,0,2,0,2,8,-13,1,1630173,2023-24,Precious Achiuwa,OKC,OKC,111.0,0.07207207207207207
22023,1630173,0022301070,"Mar 29, 2024",NYK @ SAS,L,16,3,3,1.0,0,0,0.0,0,0,0.0,2,3,5,0,0,1,1,4,6,-30,1,1630173,2023-24,Precious Achiuwa,SAS,SAS,115.6,0.051903114186851215
22023,1630173,0022301053,"Mar 27, 2024",NYK @ TOR,W,27,8,13,0.615,0,1,0.0,3,3,1.0,6,6,12,3,1,2,3,2,19,18,1,1630173,2023-24,Precious Achiuwa,TOR,TOR,118.1,0.1608806096528366
22023,1630173,0022301035,"Mar 25, 2024",NYK vs. DET,W,26,3,5,0.6,0,0,0.0,3,6,0.5,5,11,16,1,1,1,2,2,9,3,1,1630173,2023-24,Precious Achiuwa,DET,DET,118.0,0.07627118644067797
22023,1630173,0022301019,"Mar 23, 2024",NYK vs. BKN,W,7,0,2,0.0,0,1,0.0,0,2,0.0,2,1,3,1,0,0,0,0,0,-9,1,1630173,2023-24,Precious Achiuwa,BKN,BKN,115.4,0.0
22023,1630173,0022301009,"Mar 21, 2024",NYK @ DEN,L,25,4,5,0.8,1,1,1.0,0,0,0.0,0,5,5,3,0,2,0,2,9,-2,1,1630173,2023-24,Precious Achiuwa,DEN,DEN,112.3,0.08014247551202137
22023,1630173,0022300988,"Mar 18, 2024",NYK @ GSW,W,18,2,4,0.5,0,0,0.0,2,2,1.0,5,4,9,1,0,0,1,0,6,-14,1,1630173,2023-24,Precious Achiuwa,GSW,GSW,114.5,0.05240174672489083
22023,1630173,0022300975,"Mar 16, 2024",NYK @ SAC,W,20,1,2,0.5,0,0,0.0,0,0,0.0,1,4,5,4,0,1,1,3,2,2,1,1630173,2023-24,Precious Achiuwa,SAC,SAC,114.4,0.01748251748251748
22023,1630173,0022300960,"Mar 14, 2024",NYK @ POR,W,24,2,3,0.667,0,0,0.0,0,0,0.0,3,4,7,2,2,0,0,1,4,-5,1,1630173,2023-24,Precious Achiuwa,POR,POR,116.6,0.03430531732418525
22023,1630173,0022300939,"Mar 12, 2024",NYK vs. PHI,W,24,6,8,0.75,0,1,0.0,1,2,0.5,3,5,8,1,0,2,4,5,13,13,1,1630173,2023-24,Precious Achiuwa,PHI,PHI,113.0,0.11504424778761062
22023,1630173,0022300927,"Mar 10, 2024",NYK vs. PHI,L,36,2,8,0.25,1,3,0.333,3,4,0.75,3,6,9,0,2,3,3,2,8,4,1,1630173,2023-24,Precious Achiuwa,PHI,PHI,113.0,0.07079646017699115
22023,1630173,0022300912,"Mar 08, 2024",NYK vs. ORL,W,39,6,16,0.375,2,4,0.5,1,2,0.5,3,11,14,4,2,5,3,2,15,25,1,1630173,2023-24,Precious Achiuwa,ORL,ORL,110.8,0.13537906137184116
22023,1630173,0022300889,"Mar 05, 2024",NYK vs. ATL,L,24,7,8,0.875,0,0,0.0,1,1,1.0,1,5,6,2,1,1,0,1,15,3,1,1630173,2023-24,Precious Achiuwa,ATL,ATL,118.4,0.12668918918918917
22023,1630173,0022300876,"Mar 03, 2024",NYK @ CLE,W,22,6,8,0.75,1,1,1.0,1,3,0.333,3,1,4,0,2,3,2,3,14,12,1,1630173,2023-24,Precious Achiuwa,CLE,CLE,112.1,0.1248884924174844
22023,1630173,0022300852,"Feb 29, 2024",NYK vs. GSW,L,26,1,3,0.333,0,1,0.0,1,4,0.25,4,4,8,1,0,2,2,2,3,-12,1,1630173,2023-24,Precious Achiuwa,GSW,GSW,114.5,0.026200873362445413
22023,1630173,0022300837,"Feb 27, 2024",NYK vs. NOP,L,40,4,10,0.4,0,3,0.0,7,8,0.875,3,4,7,2,0,1,1,3,15,-18,1,1630173,2023-24,Precious Achiuwa,NOP,NOP,111.9,0.13404825737265416
22023,1630173,0022300828,"Feb 26, 2024",NYK vs. DET,W,34,2,7,0.286,0,1,0.0,0,0,0.0,4,7,11,1,2,2,2,3,4,9,1,1630173,2023-24,Precious Achiuwa,DET,DET,118.0,0.03389830508474576
22023,1630173,0022300816,"Feb 24, 2024",NYK vs. BOS,L,34,4,8,0.5,0,2,0.0,0,0,0.0,4,5,9,1,0,1,1,2,8,-13,1,1630173,2023-24,Precious Achiuwa,BOS,BOS,110.6,0.07233273056057866
22023,1630173,0022300794,"Feb 22, 2024",NYK @ PHI,W,38,7,9,0.778,1,2,0.5,3,7,0.429,4,7,11,2,2,1,2,3,18,15,1,1630173,2023-24,Precious Achiuwa,PHI,PHI,113.0,0.1592920353982301
22023,1630173,0022300778,"Feb 14, 2024",NYK @ ORL,L,43,8,16,0.5,1,2,0.5,6,7,0.857,10,4,14,5,0,0,1,1,23,-4,1,1630173,2023-24,Precious Achiuwa,ORL,ORL,110.8,0.2075812274368231
22023,1630173,0022300765,"Feb 12, 2024",NYK @ HOU,L,39,4,8,0.5,0,1,0.0,0,1,0.0,9,8,17,0,0,3,3,4,8,3,1,1630173,2023-24,Precious Achiuwa,HOU,HOU,112.8,0.07092198581560284
22023,1630173,0022300755,"Feb 10, 2024",NYK vs. IND,L,43,6,6,1.0,1,1,1.0,2,2,1.0,3,3,6,0,2,3,2,2,15,-12,1,1630173,2023-24,Precious Achiuwa,IND,IND,117.6,0.12755102040816327
22023,1630173,0022300736,"Feb 08, 2024",NYK vs. DAL,L,41,6,9,0.667,1,2,0.5,0,0,0.0,3,13,16,3,0,1,3,5,13,-14,1,1630173,2023-24,Precious Achiuwa,DAL,DAL,114.9,0.11314186248912098
22023,1630173,0022300722,"Feb 06, 2024",NYK vs. MEM,W,40,8,13,0.615,1,2,0.5,0,0,0.0,2,3,5,3,3,1,0,2,17,-1,1,1630173,2023-24,Precious Achiuwa,MEM,MEM,113.7,0.14951627088830255
22023,1630173,0022300701,"Feb 03, 2024",NYK vs. LAL,L,42,4,11,0.364,0,3,0.0,2,2,1.0,4,4,8,0,0,1,1,2,10,-10,1,1630173,2023-24,Precious Achiuwa,LAL,LAL,114.8,0.08710801393728224
22023,1630173,0022300685,"Feb 01, 2024",NYK vs. IND,W,43,5,16,0.313,0,3,0.0,2,4,0.5,8,8,16,0,4,2,2,4,12,7,1,1630173,2023-24,Precious Achiuwa,IND,IND,117.6,0.10204081632653061
22023,1630173,0022300671,"Jan 30, 2024",NYK vs. UTA,W,40,8,13,0.615,0,3,0.0,2,2,1.0,1,4,5,1,0,2,0,3,18,14,1,1630173,2023-24,Precious Achiuwa,UTA,UTA,119.6,0.1505016722408027
22023,1630173,0022300657,"Jan 29, 2024",NYK @ CHA,W,33,4,6,0.667,1,1,1.0,0,0,0.0,1,4,5,0,0,1,0,4,9,21,1,1630173,2023-24,Precious Achiuwa,CHA,CHA,119.2,0.07550335570469799
22023,1630173,0022300643,"Jan 27, 2024",NYK vs. MIA,W,31,2,7,0.286,0,0,0.0,0,0,0.0,3,7,10,1,1,2,0,2,4,19,1,1630173,2023-24,Precious Achiuwa,MIA,MIA,111.5,0.03587443946188341
22023,1630173,0022300631,"Jan 25, 2024",NYK vs. DEN,W,23,1,4,0.25,0,0,0.0,0,0,0.0,6,4,10,3,0,1,0,1,2,18,1,1630173,2023-24,Precious Achiuwa,DEN,DEN,112.3,0.017809439002671415
22023,1630173,0022300615,"Jan 23, 2024",NYK @ BKN,W,21,3,6,0.5,0,1,0.0,0,0,0.0,4,5,9,2,0,0,0,1,6,13,1,1630173,2023-24,Precious Achiuwa,BKN,BKN,115.4,0.05199306759098787
