SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_ID,SEASON,PLAYER_NAME,OPPONENT,TEAM_ABBREVIATION,OPP_DEF_RATING,PTS_vs_DefAdj
22020,1630173,22001069,"May 16, 2021",MIA @ DET,W,42,10,16,0.625,0,0,0.0,3,7,0.429,3,7,10,0,2,1,2,3,23,6,1,1630173,2020-21,Precious Achiuwa,DET,DET,112.2,0.2049910873440285
22020,1630173,22001062,"May 15, 2021",MIA @ MIL,L,2,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,3,1,1630173,2020-21,Precious Achiuwa,MIL,MIL,110.7,0.01806684733514
22020,1630173,22001050,"May 13, 2021",MIA vs. PHI,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5,1,1630173,2020-21,Precious Achiuwa,PHI,PHI,107.0,0.0
22020,1630173,22000986,"May 04, 2021",MIA vs. DAL,L,6,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,1,0,1,0,0,2,12,1,1630173,2020-21,Precious Achiuwa,DAL,DAL,112.3,0.0178094390026714
22020,1630173,22000969,"May 02, 2021",MIA @ CHA,W,1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1,1630173,2020-21,Precious Achiuwa,CHA,CHA,112.0,0.0
22020,1630173,22000960,"May 01, 2021",MIA @ CLE,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1,1630173,2020-21,Precious Achiuwa,CLE,CLE,113.5,0.0
22020,1630173,22000888,"Apr 21, 2021",MIA @ SAS,W,2,0,0,0.0,0,0,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,2,1,1630173,2020-21,Precious Achiuwa,SAS,SAS,112.0,0.0089285714285714
22020,1630173,22000871,"Apr 19, 2021",MIA vs. HOU,W,29,4,11,0.364,0,0,0.0,0,0,0.0,3,8,11,0,1,0,3,5,8,-1,1,1630173,2020-21,Precious Achiuwa,HOU,HOU,114.4,0.0699300699300699
22020,1630173,22000852,"Apr 16, 2021",MIA @ MIN,L,15,0,2,0.0,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,2,0,-2,1,1630173,2020-21,Precious Achiuwa,MIN,MIN,114.5,0.0
22020,1630173,22000838,"Apr 14, 2021",MIA @ DEN,L,11,2,3,0.667,0,0,0.0,2,2,1.0,0,2,2,1,0,0,0,0,6,-5,1,1630173,2020-21,Precious Achiuwa,DEN,DEN,111.5,0.0538116591928251
22020,1630173,22000827,"Apr 13, 2021",MIA @ PHX,L,9,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,2,2,-14,1,1630173,2020-21,Precious Achiuwa,PHX,PHX,110.4,0.0181159420289855
22020,1630173,22000814,"Apr 11, 2021",MIA @ POR,W,13,1,3,0.333,0,0,0.0,0,0,0.0,3,1,4,0,0,1,0,3,2,10,1,1630173,2020-21,Precious Achiuwa,POR,POR,115.3,0.0173460537727666
22020,1630173,22000784,"Apr 08, 2021",MIA vs. LAL,W,9,2,7,0.286,0,0,0.0,3,5,0.6,4,1,5,0,1,1,0,4,7,3,1,1630173,2020-21,Precious Achiuwa,LAL,LAL,106.8,0.0655430711610487
22020,1630173,22000773,"Apr 06, 2021",MIA vs. MEM,L,2,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,5,1,1630173,2020-21,Precious Achiuwa,MEM,MEM,110.5,0.0180995475113122
22020,1630173,22000749,"Apr 03, 2021",MIA vs. CLE,W,9,3,3,1.0,0,0,0.0,0,0,0.0,0,2,2,1,0,1,1,0,6,-3,1,1630173,2020-21,Precious Achiuwa,CLE,CLE,113.5,0.052863436123348
22020,1630173,22000722,"Mar 31, 2021",MIA @ IND,W,8,1,2,0.5,0,0,0.0,0,0,0.0,2,2,4,0,0,0,0,2,2,-13,1,1630173,2020-21,Precious Achiuwa,IND,IND,111.9,0.0178731009830205
22020,1630173,22000710,"Mar 29, 2021",MIA @ NYK,W,11,1,3,0.333,0,0,0.0,0,0,0.0,1,2,3,1,0,1,1,5,2,0,1,1630173,2020-21,Precious Achiuwa,NYK,NYK,107.8,0.0185528756957328
22020,1630173,22000686,"Mar 26, 2021",MIA @ CHA,L,11,2,4,0.5,0,0,0.0,0,3,0.0,2,3,5,2,0,1,0,1,4,-3,1,1630173,2020-21,Precious Achiuwa,CHA,CHA,112.0,0.0357142857142857
22020,1630173,22000678,"Mar 25, 2021",MIA vs. POR,L,14,1,4,0.25,0,0,0.0,0,0,0.0,0,1,1,0,0,1,2,1,2,-9,1,1630173,2020-21,Precious Achiuwa,POR,POR,115.3,0.0173460537727666
22020,1630173,22000664,"Mar 23, 2021",MIA vs. PHX,L,13,3,4,0.75,0,0,0.0,3,4,0.75,2,1,3,1,0,0,0,0,9,9,1,1630173,2020-21,Precious Achiuwa,PHX,PHX,110.4,0.0815217391304347
22020,1630173,22000645,"Mar 21, 2021",MIA vs. IND,L,3,0,2,0.0,0,0,0.0,0,2,0.0,1,0,1,0,0,0,0,1,0,-10,1,1630173,2020-21,Precious Achiuwa,IND,IND,111.9,0.0
22020,1630173,22000632,"Mar 19, 2021",MIA vs. IND,L,4,2,2,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,4,-1,1,1630173,2020-21,Precious Achiuwa,IND,IND,111.9,0.0357462019660411
22020,1630173,22000623,"Mar 17, 2021",MIA @ MEM,L,10,1,5,0.2,0,0,0.0,0,2,0.0,2,3,5,0,0,0,0,0,2,-17,1,1630173,2020-21,Precious Achiuwa,MEM,MEM,110.5,0.0180995475113122
22020,1630173,22000596,"Mar 14, 2021",MIA @ ORL,W,12,1,2,0.5,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,4,2,-1,1,1630173,2020-21,Precious Achiuwa,ORL,ORL,113.9,0.0175592625109745
22020,1630173,22000582,"Mar 12, 2021",MIA @ CHI,W,3,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,-1,1,1630173,2020-21,Precious Achiuwa,CHI,CHI,111.5,0.0179372197309417
22020,1630173,22000571,"Mar 11, 2021",MIA vs. ORL,W,5,1,1,1.0,0,0,0.0,0,2,0.0,1,1,2,0,0,0,1,0,2,-5,1,1630173,2020-21,Precious Achiuwa,ORL,ORL,113.9,0.0175592625109745
22020,1630173,22000557,"Mar 04, 2021",MIA @ NOP,W,16,4,8,0.5,0,0,0.0,0,0,0.0,2,3,5,0,1,0,0,0,8,-3,1,1630173,2020-21,Precious Achiuwa,NOP,NOP,113.3,0.0706090026478376
22020,1630173,22000538,"Mar 02, 2021",MIA vs. ATL,L,15,1,1,1.0,0,0,0.0,0,2,0.0,1,3,4,0,1,1,0,2,2,-9,1,1630173,2020-21,Precious Achiuwa,ATL,ATL,112.1,0.0178412132024977
22020,1630173,22000522,"Feb 28, 2021",MIA vs. ATL,W,12,4,5,0.8,0,0,0.0,6,7,0.857,4,3,7,1,1,1,1,0,14,4,1,1630173,2020-21,Precious Achiuwa,ATL,ATL,112.1,0.1248884924174844
22020,1630173,22000492,"Feb 24, 2021",MIA vs. TOR,W,6,0,0,0.0,0,0,0.0,1,2,0.5,0,2,2,0,0,0,0,1,1,-4,1,1630173,2020-21,Precious Achiuwa,TOR,TOR,112.0,0.0089285714285714
22020,1630173,22000475,"Feb 22, 2021",MIA @ OKC,W,9,1,1,1.0,0,0,0.0,0,2,0.0,1,2,3,1,0,0,0,0,2,3,1,1630173,2020-21,Precious Achiuwa,OKC,OKC,113.4,0.0176366843033509
22020,1630173,22000463,"Feb 20, 2021",MIA @ LAL,W,12,2,4,0.5,0,0,0.0,0,2,0.0,1,3,4,0,0,0,1,1,4,10,1,1630173,2020-21,Precious Achiuwa,LAL,LAL,106.8,0.0374531835205992
22020,1630173,22000447,"Feb 18, 2021",MIA @ SAC,W,12,0,4,0.0,0,0,0.0,0,0,0.0,1,3,4,1,0,2,1,0,0,-10,1,1630173,2020-21,Precious Achiuwa,SAC,SAC,116.5,0.0
22020,1630173,22000443,"Feb 17, 2021",MIA @ GSW,L,17,6,7,0.857,0,0,0.0,1,1,1.0,0,6,6,0,0,0,0,1,13,17,1,1630173,2020-21,Precious Achiuwa,GSW,GSW,109.4,0.1188299817184643
22020,1630173,22000425,"Feb 15, 2021",MIA @ LAC,L,12,3,6,0.5,0,0,0.0,2,2,1.0,0,1,1,0,2,0,0,3,8,-2,1,1630173,2020-21,Precious Achiuwa,LAC,LAC,110.6,0.0723327305605786
22020,1630173,22000410,"Feb 13, 2021",MIA @ UTA,L,5,0,2,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,1,3,2,0,2,1,1630173,2020-21,Precious Achiuwa,UTA,UTA,107.5,0.0
22020,1630173,22000392,"Feb 11, 2021",MIA @ HOU,W,5,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,-5,1,1630173,2020-21,Precious Achiuwa,HOU,HOU,114.4,0.0174825174825174
22020,1630173,22000376,"Feb 09, 2021",MIA vs. NYK,W,9,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,1,0,1,0,5,1,1630173,2020-21,Precious Achiuwa,NYK,NYK,107.8,0.0
22020,1630173,22000364,"Feb 07, 2021",MIA @ NYK,W,9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,2,0,-4,1,1630173,2020-21,Precious Achiuwa,NYK,NYK,107.8,0.0
22020,1630173,22000347,"Feb 05, 2021",MIA vs. WAS,W,20,2,8,0.25,0,0,0.0,0,0,0.0,0,1,1,0,1,0,2,3,4,-2,1,1630173,2020-21,Precious Achiuwa,WAS,WAS,112.3,0.0356188780053428
22020,1630173,22000331,"Feb 03, 2021",MIA vs. WAS,L,13,2,4,0.5,0,0,0.0,3,6,0.5,0,4,4,0,2,0,0,0,7,-5,1,1630173,2020-21,Precious Achiuwa,WAS,WAS,112.3,0.0623330365093499
22020,1630173,22000314,"Feb 01, 2021",MIA vs. CHA,L,14,1,3,0.333,0,0,0.0,2,4,0.5,1,2,3,0,0,2,0,1,4,-6,1,1630173,2020-21,Precious Achiuwa,CHA,CHA,112.0,0.0357142857142857
22020,1630173,22000301,"Jan 30, 2021",MIA vs. SAC,W,12,3,4,0.75,0,0,0.0,0,0,0.0,2,0,2,0,0,0,1,0,6,-1,1,1630173,2020-21,Precious Achiuwa,SAC,SAC,116.5,0.0515021459227467
22020,1630173,22000285,"Jan 28, 2021",MIA vs. LAC,L,13,4,4,1.0,0,0,0.0,2,5,0.4,2,3,5,0,0,0,0,1,10,-1,1,1630173,2020-21,Precious Achiuwa,LAC,LAC,110.6,0.0904159132007233
22020,1630173,22000275,"Jan 27, 2021",MIA vs. DEN,L,20,4,8,0.5,0,0,0.0,2,2,1.0,1,5,6,3,2,3,1,2,10,-3,1,1630173,2020-21,Precious Achiuwa,DEN,DEN,111.5,0.0896860986547085
22020,1630173,22000260,"Jan 25, 2021",MIA @ BKN,L,13,2,4,0.5,0,0,0.0,0,0,0.0,0,4,4,1,1,1,2,2,4,-10,1,1630173,2020-21,Precious Achiuwa,BKN,BKN,113.1,0.035366931918656
22020,1630173,22000244,"Jan 23, 2021",MIA @ BKN,L,10,1,1,1.0,0,0,0.0,5,6,0.833,1,1,2,0,0,0,1,3,7,-8,1,1630173,2020-21,Precious Achiuwa,BKN,BKN,113.1,0.0618921308576481
22020,1630173,22000234,"Jan 22, 2021",MIA @ TOR,L,12,2,2,1.0,0,0,0.0,0,0,0.0,0,1,1,1,1,2,2,1,4,-17,1,1630173,2020-21,Precious Achiuwa,TOR,TOR,112.0,0.0357142857142857
22020,1630173,22000220,"Jan 20, 2021",MIA @ TOR,W,14,2,3,0.667,0,0,0.0,0,2,0.0,1,3,4,0,1,1,0,0,4,7,1,1630173,2020-21,Precious Achiuwa,TOR,TOR,112.0,0.0357142857142857
22020,1630173,22000206,"Jan 18, 2021",MIA vs. DET,W,13,4,5,0.8,0,0,0.0,0,2,0.0,2,3,5,0,0,0,0,5,8,-1,1,1630173,2020-21,Precious Achiuwa,DET,DET,112.2,0.071301247771836
22020,1630173,22000192,"Jan 16, 2021",MIA vs. DET,L,11,1,3,0.333,0,0,0.0,3,4,0.75,1,3,4,0,0,0,0,1,5,-6,1,1630173,2020-21,Precious Achiuwa,DET,DET,112.2,0.0445632798573975
22020,1630173,22000174,"Jan 14, 2021",MIA @ PHI,L,27,4,6,0.667,0,0,0.0,2,6,0.333,5,6,11,2,0,0,2,1,10,-18,1,1630173,2020-21,Precious Achiuwa,PHI,PHI,107.0,0.0934579439252336
22020,1630173,22000157,"Jan 12, 2021",MIA @ PHI,L,36,7,10,0.7,0,0,0.0,3,4,0.75,6,7,13,3,0,1,3,4,17,-6,1,1630173,2020-21,Precious Achiuwa,PHI,PHI,107.0,0.1588785046728972
22020,1630173,22000136,"Jan 09, 2021",MIA @ WAS,W,13,3,4,0.75,0,0,0.0,1,1,1.0,0,2,2,0,0,0,2,4,7,5,1,1630173,2020-21,Precious Achiuwa,WAS,WAS,112.3,0.0623330365093499
22020,1630173,22000111,"Jan 06, 2021",MIA vs. BOS,L,14,2,5,0.4,0,0,0.0,2,2,1.0,3,2,5,3,0,1,1,1,6,7,1,1630173,2020-21,Precious Achiuwa,BOS,BOS,111.8,0.0536672629695885
22020,1630173,22000096,"Jan 04, 2021",MIA vs. OKC,W,20,2,5,0.4,0,0,0.0,2,5,0.4,2,5,7,0,1,0,1,3,6,3,1,1630173,2020-21,Precious Achiuwa,OKC,OKC,113.4,0.0529100529100529
22020,1630173,22000071,"Jan 01, 2021",MIA @ DAL,L,12,3,4,0.75,0,0,0.0,4,6,0.667,2,4,6,1,0,0,1,0,10,-5,1,1630173,2020-21,Precious Achiuwa,DAL,DAL,112.3,0.089047195013357
22020,1630173,22000058,"Dec 30, 2020",MIA vs. MIL,W,12,0,2,0.0,0,0,0.0,0,0,0.0,3,2,5,0,0,1,3,2,0,-2,1,1630173,2020-21,Precious Achiuwa,MIL,MIL,110.7,0.0
22020,1630173,22000051,"Dec 29, 2020",MIA vs. MIL,L,18,5,8,0.625,0,0,0.0,0,2,0.0,0,4,4,0,1,0,2,3,10,-15,1,1630173,2020-21,Precious Achiuwa,MIL,MIL,110.7,0.0903342366757
22020,1630173,22000005,"Dec 25, 2020",MIA vs. NOP,W,19,5,7,0.714,0,0,0.0,1,2,0.5,1,2,3,2,0,1,1,6,11,4,1,1630173,2020-21,Precious Achiuwa,NOP,NOP,113.3,0.0970873786407767
22020,1630173,22000012,"Dec 23, 2020",MIA @ ORL,L,14,3,4,0.75,0,0,0.0,2,4,0.5,1,2,3,0,0,0,0,2,8,6,1,1630173,2020-21,Precious Achiuwa,ORL,ORL,113.9,0.0702370500438981
22020,203500,22000987,"May 04, 2021",NOP vs. GSW,W,24,0,3,0.0,0,0,0.0,1,2,0.5,1,7,8,2,0,1,0,0,1,5,1,203500,2020-21,Steven Adams,GSW,GSW,109.4,0.0091407678244972
22020,203500,22000940,"Apr 28, 2021",NOP @ DEN,L,13,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,2,1,0,0,1,2,-5,1,203500,2020-21,Steven Adams,DEN,DEN,111.5,0.0179372197309417
22020,203500,22000264,"Apr 24, 2021",NOP vs. SAS,L,32,2,3,0.667,0,0,0.0,0,2,0.0,4,6,10,1,3,0,3,2,4,-2,1,203500,2020-21,Steven Adams,SAS,SAS,112.0,0.0357142857142857
22020,203500,22000893,"Apr 22, 2021",NOP @ ORL,W,16,5,8,0.625,0,0,0.0,2,2,1.0,1,8,9,0,0,0,0,2,12,15,1,203500,2020-21,Steven Adams,ORL,ORL,113.9,0.1053555750658472
22020,203500,22000878,"Apr 20, 2021",NOP vs. BKN,L,29,3,5,0.6,0,0,0.0,1,2,0.5,0,5,5,1,0,2,0,3,7,0,1,203500,2020-21,Steven Adams,BKN,BKN,113.1,0.0618921308576481
22020,203500,22000862,"Apr 18, 2021",NOP @ NYK,L,36,5,7,0.714,0,0,0.0,0,2,0.0,8,6,14,3,1,0,2,2,10,-1,1,203500,2020-21,Steven Adams,NYK,NYK,107.8,0.0927643784786642
